Seconds elapsed,Metres from animatedLocation to lastReceivedLocation
65.483,231.58842183888322
65.5,231.58842183888322
65.516,231.58842183888322
65.533,231.58842183888322
65.549,231.58842183888322
65.566,231.58842183888322
65.583,231.58842183888322
65.599,231.58842183888322
65.616,231.58842183888322
65.633,231.58842183888322
65.651,231.58842183888322
65.666,231.58842183888322
65.683,231.58842183888322
65.699,231.58842183888322
65.716,231.58842183888322
65.733,231.58842183888322
65.749,231.58842183888322
65.766,231.58842183888322
65.783,231.58842183888322
65.799,231.58842183888322
65.816,231.58842183888322
65.833,231.58842183888322
65.849,231.58842183888322
65.866,231.58842183888322
65.883,231.58842183888322
65.898,231.58842183888322
65.915,231.58842183888322
65.933,231.58842183888322
65.949,231.58842183888322
65.966,231.58842183888322
65.983,231.58842183888322
65.999,231.58842183888322
66.017,231.58842183888322
66.033,231.58842183888322
66.049,231.58842183888322
66.066,231.58842183888322
66.083,231.58842183888322
66.099,231.58842183888322
66.116,231.58842183888322
66.133,231.58842183888322
66.149,231.58842183888322
66.166,231.58842183888322
66.183,231.58842183888322
66.199,231.58842183888322
66.216,231.58842183888322
66.233,231.58842183888322
66.249,231.58842183888322
66.266,231.58842183888322
66.283,231.58842183888322
66.299,231.58842183888322
66.316,230.93446063424352
66.333,229.0664615880945
66.349,227.20870690985856
66.366,225.3468587495698
66.383,223.482080713861
66.399,221.62233179098723
66.432,217.9903768897633
66.449,216.02089798838176
66.473,213.34055592958256
66.483,212.2696400423167
66.499,210.43071517142687
66.516,208.566903825607
66.533,206.68016645216014
66.549,204.8432863717997
66.566,202.97930824498607
66.583,201.11750409666757
66.612,197.75775051449116
66.615,197.45931959849372
66.636,195.08285866656792
66.649,193.6516561353972
66.666,191.78770254995945
66.683,189.9229643079415
66.7,187.97437066705814
66.716,186.19148651886658
66.733,184.34274177851594
66.749,182.47236376085326
66.766,180.61531884978623
66.784,178.64911916807657
66.799,176.89196980214564
66.816,175.0252271079361
66.833,173.1624122978688
66.849,171.3040583395499
66.866,169.4318900520054
66.883,167.5679232366268
66.899,165.6993381087438
66.916,163.85584129929603
66.933,161.96168098207647
66.949,160.13181468510368
66.966,158.2552187899581
66.982,257.0328607860986
66.999,255.33413550170084
67.016,253.6348094014373
67.033,251.96363977716658
67.049,250.26792471546162
67.066,248.5806375669962
67.083,246.8942903786682
67.099,245.20678366923272
67.116,243.51302944550463
67.133,241.8072832406468
67.149,240.14054373279993
67.166,238.44061849297043
67.183,236.75575474686494
67.199,235.0724151907693
67.216,233.38063104664099
67.233,231.6882545950969
67.249,230.00215195447691
67.266,228.3134208947279
67.283,226.6246563268832
67.299,224.9316208205624
67.316,223.24960466894737
67.333,221.55935957007082
67.349,219.86977524515885
67.366,218.18376419477818
67.383,216.48684422895195
67.399,214.77927742952218
67.416,213.10632738764642
67.433,211.42593574955262
67.449,209.7353844783064
67.466,208.04326304553544
67.483,206.35143842352124
67.499,204.65583796038234
67.516,202.9732729994131
67.533,201.59228966726258
67.556,201.59228966726258
67.575,201.59228966726258
67.582,201.59228966726258
67.608,201.59228966726258
67.618,201.59228966726258
67.633,201.59228966726258
